City_ID,City,Country,Max Temp,Weather description,Latitude,Longtude,Hotel Name
1,Esperance,AU,80.44,few clouds,-33.8667,121.9,Hospitality Esperance
6,Axim,GH,76.03,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
7,Busselton,AU,78.85,broken clouds,-33.65,115.3333,Observatory Guest House
9,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
10,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
13,Canberra,AU,78.53,broken clouds,-35.2835,149.1281,Novotel Canberra
22,Faanui,PF,82.0,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Rikitea,PF,80.49,broken clouds,-23.1203,-134.9692,People ThankYou
26,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
27,Atuona,PF,79.03,overcast clouds,-9.8,-139.0333,Villa Enata
33,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
35,Belmonte,BR,77.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
37,Kavieng,PG,85.8,clear sky,-2.5744,150.7967,Nusa Island Retreat
38,Vaini,TO,82.35,clear sky,-21.2,-175.2,Keleti Beach Resort
41,Butaritari,KI,81.68,clear sky,3.0707,172.7902,Isles Sunset Lodge
42,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
51,Puerto Baquerizo Moreno,EC,79.48,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
53,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Rio De Janeiro,BR,79.0,scattered clouds,-22.9028,-43.2075,Hotel cruz de ouro
62,Bandiagara,ML,80.13,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
63,Buala,SB,84.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
65,Lakatoro,VU,85.15,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
68,Namatanai,PG,85.3,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
69,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
74,Kudahuvadhoo,MV,82.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
75,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
79,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
82,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
88,Guasdualito,VE,79.9,overcast clouds,7.2424,-70.7324,Hotel Cuibas
102,Bacolod,PH,86.38,broken clouds,10.6667,122.95,Planta Hotel & Residences
106,Flinders,AU,77.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
107,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
110,Kavaratti,IN,83.25,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
111,Kabanjahe,ID,75.02,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
115,Porbandar,IN,76.98,clear sky,21.6422,69.6093,Lords Inn Porbandar
118,Kieta,PG,84.33,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
121,Maroantsetra,MG,75.24,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
124,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
128,Manaus,BR,75.69,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
131,Nanakuli,US,82.35,overcast clouds,21.3906,-158.1547,Camp Pālehua
133,Cairns,AU,82.06,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
134,Vao,NC,79.75,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
135,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
137,Pedasi,PA,76.06,clear sky,7.5333,-80.0333,Selina Pedasi
139,Bandarbeyla,SO,78.91,overcast clouds,9.4942,50.8122,JABIR HOTEL
145,Bartica,GY,75.52,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
151,Arraial Do Cabo,BR,76.71,clear sky,-22.9661,-42.0278,Pousada Porto Praia
153,Kulhudhuffushi,MV,82.33,scattered clouds,6.6221,73.07,Haajy Guest House 1
154,Geraldton,AU,81.01,few clouds,-28.7667,114.6,Broadwater Mariner Resort
155,Atambua,ID,83.19,broken clouds,-9.1061,124.8925,Kost Alfa Flat
156,Bidar,IN,86.9,clear sky,17.9,77.55,Kaveri Hotel
163,Caravelas,BR,76.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
164,Meulaboh,ID,84.51,scattered clouds,4.1363,96.1285,Kost Pria
183,Ha Tinh,VN,80.44,broken clouds,18.3333,105.9,Phú Quý
184,Dondo,MZ,76.51,clear sky,-19.6094,34.7431,Arco Iris
198,Sechura,PE,77.22,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
205,Maningrida,AU,82.69,light rain,-12.0667,134.2667,Dhukurrdji Lodge
206,Bengkulu,ID,84.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
213,Beldanga,IN,89.58,clear sky,23.9333,88.25,"Saha Computer, CSC Centre"
217,Angoche,MZ,76.55,overcast clouds,-16.2325,39.9086,Guest House HESADA
236,Port Blair,IN,87.84,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
243,Madang,PG,86.65,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
246,Phuket,TH,88.02,few clouds,8.0,98.25,The Surin
247,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
250,Hervey Bay,AU,80.02,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
251,Moradabad,IN,80.2,clear sky,28.8333,78.7833,SPOT ON 37757 Hotel Paradise
255,Ambulu,ID,86.92,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
256,Koumac,NC,83.64,broken clouds,-20.5667,164.2833,Le Monitel
259,Saint-Leu,RE,78.31,light rain,-21.15,55.2833,La Caz Oceane
260,Harper,LR,79.05,overcast clouds,4.375,-7.7169,Screensaver
261,Nabire,ID,84.94,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
263,Lahat,ID,83.52,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
264,Touros,BR,79.11,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
267,Nago,JP,76.05,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
268,Mareeba,AU,77.43,light rain,-17.0,145.4333,Trinity Plains Tourist Park
272,Kariapatti,IN,84.72,few clouds,9.6751,78.0999,Aruppukottai Nadar Uravinmurai Lodge
281,Pasighat,IN,89.04,clear sky,28.0667,95.3333,Siang Guest House
283,Victoria,HK,82.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
285,Biaora,IN,86.16,clear sky,23.8667,76.9167,SARPANCH MOTEL HOTEL
286,Diu,IN,87.21,clear sky,20.7141,70.9822,Hotel Relax Inn
288,Kuching,MY,89.82,scattered clouds,1.55,110.3333,Hilton Kuching
296,Antalaha,MG,76.17,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
301,Qinzhou,CN,80.69,scattered clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
303,Fare,PF,82.06,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
304,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
311,Vangaindrano,MG,75.87,light rain,-23.35,47.6,Hotel Fanilo
312,Tema,GH,81.01,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
320,Nandgaon,IN,86.59,clear sky,20.3167,74.65,Hotel Visava
323,Cockburn Town,TC,77.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
329,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
336,Waingapu,ID,86.74,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
339,Hobyo,SO,80.02,broken clouds,5.3505,48.5268,Iftin hotel hobyo
341,Galle,LK,83.7,broken clouds,6.0367,80.217,Amangalla
345,Lorengau,PG,86.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
349,Santo Antonio Do Taua,BR,76.95,overcast clouds,-1.1519,-48.1294,Pousada Magno
357,Biak,ID,84.13,broken clouds,-0.9131,122.8766,Penginapan Kim
358,Port Macquarie,AU,75.88,few clouds,-31.4333,152.9167,Rydges Port Macquarie
361,Cotonou,BJ,80.58,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
363,Samarai,PG,85.86,broken clouds,-10.6167,150.6667,Nuli Sapi
371,Xichang,CN,75.36,clear sky,27.8964,102.2634,Xichang ibis Hotel
373,Moerai,PF,78.33,moderate rain,-22.4333,-151.3333,Le Manotel
374,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
383,Sinnamary,GF,75.79,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
384,Tautira,PF,81.05,broken clouds,-17.7333,-149.15,Pension Oaoa
392,Kalmunai,LK,82.67,broken clouds,7.4167,81.8167,VS Villa
395,Luanda,AO,77.25,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
416,Pemangkat,ID,84.78,overcast clouds,1.1667,108.9667,Ramah Kost KITA
419,Matara,LK,84.51,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
421,Boa Vista,BR,84.18,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
431,Quatre Cocos,MU,82.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
438,Cap Malheureux,MU,82.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
443,Hirara,JP,76.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
453,Kloulklubed,PW,83.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
454,Liyang,CN,81.88,broken clouds,29.7057,118.2862,Hui Boutique Hotel
457,The Valley,AI,76.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
461,Bikaner,IN,89.19,clear sky,28.0167,73.3,The Laxmi Niwas Palace
469,Anloga,GH,81.46,broken clouds,5.7947,0.8973,Pin Drop Hotel
471,Waw,SS,76.84,overcast clouds,7.7029,27.9953,Universal Gab Hotel
475,Calabozo,VE,79.3,overcast clouds,8.9242,-67.4293,Hotel Giardini
477,Saint-Pierre,RE,78.91,light rain,-21.3393,55.4781,Lindsey Hôtel
479,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
480,Eyl,SO,76.69,broken clouds,7.9803,49.8164,Amiin Hotel
483,Labuhan,ID,85.42,overcast clouds,-6.8844,112.2051,DoubleFAG
487,Sao Jose Da Coroa Grande,BR,78.62,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
488,Yeppoon,AU,83.98,overcast clouds,-23.1333,150.7333,Villa Mar Colina
491,Sao Joao Da Barra,BR,77.31,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
503,Veraval,IN,85.19,clear sky,20.9,70.3667,Lords Inn Somnath
505,Perth,AU,83.01,few clouds,-31.9333,115.8333,Quest on Rheola
510,Itarema,BR,77.27,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
524,Tirumullaivasal,IN,83.53,scattered clouds,11.2333,79.8333,Almupaark complex
526,Linqiong,CN,75.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
531,Puerto Escondido,MX,77.34,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
541,Acapulco,MX,76.12,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
542,Ailigandi,PA,78.76,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
544,Aloleng,PH,83.86,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
548,Ugoofaaru,MV,82.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
555,Chandur Bazar,IN,87.96,clear sky,21.2417,77.7456,Shri Tirupati Agro Agency
558,Salinopolis,BR,77.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
560,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
561,Matadi,CD,75.81,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
571,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
572,Hong Gai,VN,75.11,few clouds,20.956,107.0946,Hạ Long DC Hotel
581,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
587,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
590,Sompeta,IN,87.37,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
597,Maunabo,PR,76.69,clear sky,18.0072,-65.8993,Maunacaribe
606,Kirakira,SB,85.14,scattered clouds,-10.4544,161.9205,SanBiz Lodge
607,Passo De Camaragibe,BR,76.55,broken clouds,-9.2368,-35.4901,Chácara vovó candinha
611,Jucurutu,BR,77.2,overcast clouds,-6.0339,-37.0203,Pousada Miike
615,Panama City,PA,78.75,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
622,Port-Gentil,GA,81.1,light rain,-0.7193,8.7815,Fengshui Residence
628,Sambava,MG,75.96,overcast clouds,-14.2667,50.1667,Melrose
635,Pasni,PK,78.03,clear sky,25.2631,63.471,Kashmiri Hotal
647,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
650,Charters Towers,AU,89.83,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
651,Paka,MY,84.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
655,Anuradhapura,LK,83.55,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
657,Kensington,AU,75.0,light intensity shower rain,-33.9167,151.2167,Meriton Suites Zetland
659,Noumea,NC,84.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
663,Banda Aceh,ID,84.09,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
664,Emerald,AU,88.34,broken clouds,-23.5333,148.1667,The Irish Village
669,Victor Harbor,AU,78.35,broken clouds,-35.5667,138.6167,McCracken Country Club
673,Ewa Beach,US,82.35,overcast clouds,21.3156,-158.0072,Base Lodging
677,Sumbe,AO,77.58,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
679,Omboue,GA,78.1,light rain,-1.5746,9.2618,Hotel Olako
685,Zhifang,CN,75.18,scattered clouds,30.35,114.3167,Echarm Hotel Jiangxia Zhongbai Plaza
687,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
690,Teknaf,BD,87.62,broken clouds,20.8624,92.3058,Forestry Guesthouse
691,Mount Gambier,AU,80.51,overcast clouds,-37.8333,140.7667,The Commodore
699,Farafangana,MG,76.53,light rain,-22.8167,47.8333,Miarina
705,Dingle,PH,88.43,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
707,Auki,SB,85.73,broken clouds,-8.7676,160.7034,Auki Motel
