City_ID,City,Country,Latitude,Longtude,Max Temp,Humidity,Percent Cloudiness,Wind Speed,Weather description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,25.32,few clouds
1,Esperance,AU,-33.8667,121.9,80.44,60,11,17.31,few clouds
2,Hermanus,ZA,-34.4187,19.2345,59.67,62,60,10.74,broken clouds
3,Hasaki,JP,35.7333,140.8333,73.8,67,11,5.97,few clouds
4,Namibe,AO,-15.1961,12.1522,70.0,81,99,7.43,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,65.95,85,100,26.69,light rain
6,Axim,GH,4.8699,-2.2405,76.03,85,100,6.78,overcast clouds
7,Busselton,AU,-33.65,115.3333,78.85,54,64,6.76,broken clouds
8,Mataura,NZ,-46.1927,168.8643,65.48,51,67,7.4,broken clouds
9,Avarua,CK,-21.2078,-159.775,82.45,78,99,6.91,overcast clouds
10,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,75,8.05,light rain
11,Yerofey Pavlovich,RU,53.9667,121.9667,16.7,86,100,9.46,light snow
12,Nikolskoye,RU,59.7035,30.7861,32.88,97,100,3.09,overcast clouds
13,Canberra,AU,-35.2835,149.1281,78.53,47,75,6.91,broken clouds
14,New Norfolk,AU,-42.7826,147.0587,62.1,65,100,1.99,overcast clouds
15,Lumeje,AO,-11.55,20.7833,62.2,93,89,5.03,overcast clouds
16,Bluff,NZ,-46.6,168.3333,65.8,73,72,8.39,broken clouds
17,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,20,18.41,light rain
18,Arco,IT,45.9177,10.8867,44.19,62,36,0.87,scattered clouds
19,San Patricio,US,28.017,-97.5169,64.26,76,85,9.44,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,-10.68,70,0,4.61,clear sky
21,Bay Roberts,CA,47.5999,-53.2648,26.33,52,68,18.01,broken clouds
22,Faanui,PF,-16.4833,-151.75,82.0,73,80,12.33,broken clouds
23,Sitka,US,57.0531,-135.33,44.49,53,100,17.27,overcast clouds
24,Mogzon,RU,51.7435,111.9606,15.37,59,92,2.71,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,80.49,71,70,14.36,broken clouds
26,Carnarvon,AU,-24.8667,113.6333,84.27,48,0,13.8,clear sky
27,Atuona,PF,-9.8,-139.0333,79.03,74,100,14.94,overcast clouds
28,Cayenne,GF,4.9333,-52.3333,74.08,1,75,3.44,heavy intensity rain
29,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.6,99,84,1.52,broken clouds
30,Ostrovnoy,RU,68.0531,39.5131,26.08,86,100,5.08,overcast clouds
31,Port Hardy,CA,50.6996,-127.4199,46.58,81,100,8.05,light intensity shower rain
32,Puerto Boyaca,CO,5.9758,-74.5885,73.09,97,90,1.01,overcast clouds
33,Bathsheba,BB,13.2167,-59.5167,77.61,73,75,23.02,broken clouds
34,Jamestown,US,42.097,-79.2353,34.72,49,100,15.01,overcast clouds
35,Belmonte,BR,-15.8631,-38.8828,77.7,86,94,4.79,overcast clouds
36,Albany,US,42.6001,-73.9662,26.76,69,41,6.02,scattered clouds
37,Kavieng,PG,-2.5744,150.7967,85.8,64,9,12.82,clear sky
38,Vaini,TO,-21.2,-175.2,82.35,70,4,1.77,clear sky
39,Glenwood Springs,US,39.5505,-107.3248,38.21,93,100,8.05,overcast clouds
40,Chokurdakh,RU,70.6333,147.9167,-3.91,86,100,5.48,overcast clouds
41,Butaritari,KI,3.0707,172.7902,81.68,74,4,18.39,clear sky
42,Puerto Ayora,EC,-0.7393,-90.3518,76.55,97,38,1.01,scattered clouds
43,Torrington,US,41.8007,-73.1212,28.04,67,52,3.0,broken clouds
44,Margate,GB,51.3813,1.3862,46.31,92,65,1.01,broken clouds
45,Hilo,US,19.7297,-155.09,78.53,73,100,11.5,overcast clouds
46,Bredasdorp,ZA,-34.5322,20.0403,54.57,72,50,5.14,scattered clouds
47,Mar Del Plata,AR,-38.0023,-57.5575,64.09,92,1,4.0,clear sky
48,Nongpoh,IN,25.9,91.8833,74.77,17,40,3.4,scattered clouds
49,Rafaela,AR,-31.2503,-61.4867,61.0,77,14,6.29,few clouds
50,Inuvik,CA,68.3499,-133.7218,-1.44,63,75,8.05,broken clouds
51,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.48,74,34,3.89,scattered clouds
52,Havoysund,NO,70.9963,24.6622,36.93,76,99,12.44,overcast clouds
53,Kapaa,US,22.0752,-159.319,80.58,70,20,10.36,few clouds
54,San Rafael,AR,-34.6177,-68.3301,68.43,44,0,5.95,clear sky
55,Oktyabrskoye,RU,43.0645,44.7417,23.14,100,79,2.24,broken clouds
56,Rio De Janeiro,BR,-22.9028,-43.2075,79.0,83,40,3.44,scattered clouds
57,Provideniya,RU,64.3833,-173.3,21.31,53,0,8.95,clear sky
58,Fatsa,TR,41.0278,37.5014,35.4,83,100,7.74,overcast clouds
59,Castro,BR,-24.7911,-50.0119,63.19,98,100,2.98,light rain
60,Babushkin,RU,51.7122,105.8647,13.19,89,100,6.87,light snow
61,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,10.17,79,83,3.4,broken clouds
62,Bandiagara,ML,14.3501,-3.6104,80.13,19,90,6.15,overcast clouds
63,Buala,SB,-8.145,159.5921,84.96,69,86,3.76,overcast clouds
64,Bethel,US,41.3712,-73.414,29.75,72,20,5.75,few clouds
65,Lakatoro,VU,-16.0999,167.4164,85.15,70,41,8.75,scattered clouds
66,Airai,TL,-8.9266,125.4092,75.22,62,58,1.39,light rain
67,Mercedes,AR,-34.6515,-59.4307,61.03,52,0,6.35,clear sky
68,Namatanai,PG,-3.6667,152.4333,85.3,59,71,8.99,broken clouds
69,Kahului,US,20.8947,-156.47,82.42,64,40,11.5,scattered clouds
70,San Jeronimo,PE,-11.9472,-75.2829,46.24,91,98,2.3,overcast clouds
71,Hazorasp,UZ,41.3194,61.0742,37.24,42,100,14.36,overcast clouds
72,Shimanovsk,RU,52.0,127.7,26.47,66,47,3.8,scattered clouds
73,Suntar,RU,62.1444,117.6319,5.61,81,100,6.26,overcast clouds
74,Kudahuvadhoo,MV,2.6708,72.8944,82.8,66,97,3.24,overcast clouds
75,Hithadhoo,MV,-0.6,73.0833,83.01,70,98,3.85,overcast clouds
76,Puerto Palomas,MX,31.7667,-107.6167,59.9,14,0,16.44,clear sky
77,Launceston,AU,-41.45,147.1667,71.24,61,100,19.57,moderate rain
78,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,65,90,14.97,overcast clouds
79,Mahebourg,MU,-20.4081,57.7,81.25,89,75,8.05,broken clouds
80,Ushuaia,AR,-54.8,-68.3,38.86,81,100,14.97,moderate rain
81,Georgetown,MY,5.4112,100.3354,87.73,82,20,4.61,few clouds
82,Isangel,VU,-19.55,169.2667,86.11,79,58,3.44,broken clouds
83,Lompoc,US,34.6391,-120.4579,53.94,81,0,13.8,clear sky
84,Tiksi,RU,71.6872,128.8694,-14.19,97,98,1.88,overcast clouds
85,Verkhniy Landekh,RU,56.8389,42.5994,16.03,96,36,6.24,scattered clouds
86,San Quintin,MX,30.4833,-115.95,57.18,85,0,15.21,clear sky
87,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,66.09,64,0,6.4,clear sky
88,Guasdualito,VE,7.2424,-70.7324,79.9,71,100,3.47,overcast clouds
89,Mount Isa,AU,-20.7333,139.5,98.37,32,0,10.36,clear sky
90,Mendi,PG,-6.1761,143.6513,67.73,84,77,2.48,broken clouds
91,Morro Bay,US,35.3658,-120.8499,57.58,84,32,8.23,scattered clouds
92,Luderitz,NA,-26.6481,15.1594,60.96,69,0,27.45,clear sky
93,Sisophon,KH,13.5859,102.9737,94.53,44,94,4.76,overcast clouds
94,Vila Do Maio,CV,15.1333,-23.2167,68.79,78,0,23.04,clear sky
95,Saldanha,ZA,-33.0117,17.9442,51.85,66,93,15.75,overcast clouds
96,Morki,RU,56.4303,48.9947,17.37,98,99,2.91,overcast clouds
97,Hobart,AU,-42.8794,147.3294,62.46,89,75,11.5,broken clouds
98,Barrow,US,71.2906,-156.7887,1.42,78,40,11.5,scattered clouds
99,Lexington,US,37.9887,-84.4777,42.69,51,0,8.05,clear sky
100,Lasa,IT,46.6166,10.7002,31.08,85,50,2.51,scattered clouds
101,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,12.66,broken clouds
102,Bacolod,PH,10.6667,122.95,86.38,70,53,7.02,broken clouds
103,Vilhena,BR,-12.7406,-60.1458,68.72,99,100,2.75,moderate rain
104,Manono,CD,-7.3,27.4167,67.41,94,100,1.68,overcast clouds
105,Tahoua,NE,14.8888,5.2692,71.89,13,43,12.59,scattered clouds
106,Flinders,AU,-34.5833,150.8552,77.18,70,46,3.0,light rain
107,San Andres,CO,12.5847,-81.7006,80.62,78,20,12.66,few clouds
108,Rockport,US,28.0206,-97.0544,64.42,85,100,5.75,overcast clouds
109,Saskylakh,RU,71.9167,114.0833,-7.58,95,93,3.33,overcast clouds
110,Kavaratti,IN,10.5669,72.642,83.25,70,23,5.73,few clouds
111,Kabanjahe,ID,3.1001,98.4908,75.02,75,42,1.83,scattered clouds
112,Gazanjyk,TM,39.2446,55.5154,46.42,48,100,6.6,overcast clouds
113,Koutsouras,GR,35.0339,25.9469,44.11,62,14,18.77,few clouds
114,Polonne,UA,50.1242,27.5109,26.83,78,12,1.97,few clouds
115,Porbandar,IN,21.6422,69.6093,76.98,53,3,0.0,clear sky
116,Te Anau,NZ,-45.4167,167.7167,71.11,44,27,3.89,scattered clouds
117,Hami,CN,42.8,93.45,58.51,26,100,3.69,overcast clouds
118,Kieta,PG,-6.2167,155.6333,84.33,65,82,3.98,broken clouds
119,Riviere-Au-Renard,CA,48.9957,-64.3971,5.29,76,17,15.48,few clouds
120,Sioux Lookout,CA,50.1001,-91.917,6.87,85,20,4.61,few clouds
121,Maroantsetra,MG,-15.4333,49.7333,75.24,90,93,1.23,light rain
122,Crotone,IT,39.0851,17.1178,42.19,74,17,6.2,few clouds
123,Roma,US,43.2128,-75.4557,29.82,73,100,3.44,overcast clouds
124,Alofi,NU,-19.0595,-169.9187,80.49,83,11,5.75,few clouds
125,Magan,ES,39.9683,-3.931,54.32,61,100,17.74,overcast clouds
126,Kon Tum,VN,14.35,108.0,93.94,28,39,3.4,scattered clouds
127,Hovd,MN,48.0056,91.6419,40.17,27,0,22.84,clear sky
128,Manaus,BR,-3.1019,-60.025,75.69,94,75,5.75,light rain
129,Belyy Yar,RU,53.6039,91.3903,10.29,52,0,13.42,clear sky
130,Shelburne,CA,44.0787,-80.2041,27.12,87,90,14.14,overcast clouds
131,Nanakuli,US,21.3906,-158.1547,82.35,59,100,17.27,overcast clouds
132,Husavik,IS,66.0449,-17.3389,20.95,75,13,15.43,few clouds
133,Cairns,AU,-16.9167,145.7667,82.06,97,75,9.22,moderate rain
134,Vao,NC,-22.6667,167.4833,79.75,79,65,14.56,broken clouds
135,Road Town,VG,18.4167,-64.6167,75.99,77,0,24.79,clear sky
136,Kaitangata,NZ,-46.2817,169.8464,61.07,74,36,7.61,scattered clouds
137,Pedasi,PA,7.5333,-80.0333,76.06,84,2,15.66,clear sky
138,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,19.57,broken clouds
139,Bandarbeyla,SO,9.4942,50.8122,78.91,66,92,15.99,overcast clouds
140,Torbay,CA,47.6666,-52.7314,25.57,60,20,32.21,few clouds
141,East London,ZA,-33.0153,27.9116,63.54,94,75,17.27,light rain
142,Ponta Do Sol,PT,32.6667,-17.1,53.06,76,84,24.58,broken clouds
143,Beipiao,CN,41.7919,120.7792,36.93,65,97,18.37,overcast clouds
144,Saint-Philippe,RE,-21.3585,55.7679,74.79,85,100,12.53,light rain
145,Bartica,GY,6.4,-58.6167,75.52,99,66,2.53,broken clouds
146,Dunedin,NZ,-45.8742,170.5036,63.7,67,45,4.38,scattered clouds
147,Freeport,US,40.6576,-73.5832,33.19,67,100,8.05,overcast clouds
148,San Mateo Del Mar,MX,16.2,-95.0,73.49,72,1,32.32,clear sky
149,Mmathubudukwane,BW,-24.6,26.4333,65.59,56,73,5.95,broken clouds
150,Vanavara,RU,60.34,102.2797,-2.07,87,99,3.38,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,76.71,91,7,15.39,clear sky
152,Cape Town,ZA,-33.9258,18.4232,59.41,66,40,6.91,scattered clouds
153,Kulhudhuffushi,MV,6.6221,73.07,82.33,72,33,8.43,scattered clouds
154,Geraldton,AU,-28.7667,114.6,81.01,54,18,12.66,few clouds
155,Atambua,ID,-9.1061,124.8925,83.19,72,77,3.2,broken clouds
156,Bidar,IN,17.9,77.55,86.9,14,3,7.52,clear sky
157,Novyy Urengoy,RU,66.0833,76.6333,-3.93,98,93,5.99,overcast clouds
158,Kaset Sombun,TH,16.2805,101.9542,97.65,27,55,4.7,broken clouds
159,Dudinka,RU,69.4058,86.1778,-3.39,95,100,11.36,overcast clouds
160,Yerbogachen,RU,61.2767,108.0108,-2.02,87,99,3.49,overcast clouds
161,Jumla,NP,29.2747,82.1838,65.03,15,7,2.44,clear sky
162,Junction City,US,39.0286,-96.8314,55.26,32,0,11.5,clear sky
163,Caravelas,BR,-17.7125,-39.2481,76.93,86,100,4.65,overcast clouds
164,Meulaboh,ID,4.1363,96.1285,84.51,70,48,1.28,scattered clouds
165,Silver City,US,32.7701,-108.2803,51.67,21,0,15.99,clear sky
166,Saint George,US,37.1041,-113.5841,61.39,18,0,7.0,clear sky
167,Saint Marys,US,30.7305,-81.5465,53.02,86,0,4.61,clear sky
168,Revda,RU,56.801,59.9303,4.59,95,99,2.13,overcast clouds
169,Omsukchan,RU,62.5333,155.8,5.14,89,63,3.49,broken clouds
170,Ust-Kulom,RU,61.6864,53.6902,13.12,96,99,5.99,overcast clouds
171,Lebu,CL,-37.6167,-73.65,56.01,87,1,16.06,clear sky
172,Puerto Ayacucho,VE,5.6639,-67.6236,74.91,92,100,3.96,overcast clouds
173,Riga,LV,57.0,24.0833,19.47,100,0,1.14,clear sky
174,Thompson,CA,55.7435,-97.8558,1.56,60,20,11.5,few clouds
175,Kruisfontein,ZA,-34.0033,24.7314,57.88,76,100,18.72,overcast clouds
176,Barstow,US,34.8986,-117.0228,61.79,36,49,19.62,scattered clouds
177,Riyadh,SA,24.6877,46.7219,57.34,47,2,5.99,clear sky
178,Marsa Matruh,EG,31.3525,27.2453,50.2,53,40,11.5,scattered clouds
179,Verkhnyaya Inta,RU,65.9811,60.3094,-0.24,93,17,2.24,few clouds
180,Rawson,AR,-43.3002,-65.1023,61.02,52,33,3.02,scattered clouds
181,Moju,BR,-1.8839,-48.7689,73.09,96,100,4.94,light rain
182,Melfi,IT,40.9965,15.6514,27.5,76,0,2.71,clear sky
183,Ha Tinh,VN,18.3333,105.9,80.44,67,63,3.83,broken clouds
184,Dondo,MZ,-19.6094,34.7431,76.51,97,10,1.83,clear sky
185,San Cristobal,VE,7.7669,-72.225,69.98,96,100,1.57,overcast clouds
186,Juneau,US,58.3019,-134.4197,33.8,90,100,5.75,overcast clouds
187,Salta,AR,-24.7859,-65.4117,61.57,87,75,3.44,broken clouds
188,Lagoa,PT,39.05,-27.9833,55.11,62,82,8.12,broken clouds
189,Talnakh,RU,69.4865,88.3972,-3.8,93,100,8.05,overcast clouds
190,Richards Bay,ZA,-28.783,32.0377,70.66,94,4,5.41,clear sky
191,Dzhebariki-Khaya,RU,62.2167,135.8,9.64,87,100,1.7,overcast clouds
192,Dakar,SN,14.6937,-17.4441,67.08,88,0,13.8,clear sky
193,Golden Gate,US,26.1879,-81.6951,64.38,68,0,9.22,clear sky
194,Tibiri,NE,13.5627,7.0485,69.15,14,87,10.51,overcast clouds
195,Avera,US,33.194,-82.5271,36.55,39,2,5.53,clear sky
196,Lima,PE,-12.0432,-77.0282,70.39,65,20,8.05,few clouds
197,Praya,CV,14.9215,-23.5087,68.54,77,20,26.46,few clouds
198,Sechura,PE,-5.5569,-80.8222,77.22,70,85,8.79,overcast clouds
199,Port Hawkesbury,CA,45.6169,-61.3485,24.19,65,75,20.71,broken clouds
200,Price,US,39.5994,-110.8107,39.11,69,0,5.75,clear sky
201,Tuatapere,NZ,-46.1333,167.6833,62.55,68,85,9.51,overcast clouds
202,Cherskiy,RU,68.75,161.3,-5.24,93,98,4.88,overcast clouds
203,Diego De Almagro,CL,-26.3667,-70.05,64.87,50,0,1.66,clear sky
204,Fartura,BR,-23.3883,-49.51,69.28,97,100,1.21,light rain
205,Maningrida,AU,-12.0667,134.2667,82.69,77,99,13.42,light rain
206,Bengkulu,ID,-3.8004,102.2655,84.31,67,100,7.78,overcast clouds
207,Naze,JP,28.3667,129.4833,72.52,77,11,3.94,few clouds
208,Dubovskoye,RU,47.4092,42.7575,21.38,88,64,3.31,broken clouds
209,Shenjiamen,CN,29.9576,122.298,60.75,86,92,6.46,overcast clouds
210,Kitimat,CA,54.0524,-128.6534,38.91,29,100,1.48,light rain
211,Sandviken,SE,60.6167,16.7667,22.69,85,13,3.67,few clouds
212,High Level,CA,58.5169,-117.136,-7.49,71,20,0.0,few clouds
213,Beldanga,IN,23.9333,88.25,89.58,19,8,7.92,clear sky
214,Kiomboi,TZ,-4.2667,34.3667,59.04,92,46,3.31,light rain
215,Yaan,NG,7.3833,8.5667,81.05,50,32,3.58,scattered clouds
216,Colares,PT,38.7992,-9.4469,53.33,76,29,13.0,scattered clouds
217,Angoche,MZ,-16.2325,39.9086,76.55,91,100,7.94,overcast clouds
218,Lumphat,KH,13.4878,106.9816,97.23,32,34,3.53,scattered clouds
219,Chapais,CA,49.7834,-74.8492,4.78,99,99,2.77,overcast clouds
220,Deputatskiy,RU,69.3,139.9,-7.47,95,100,2.46,overcast clouds
221,Abilene,US,32.4487,-99.7331,56.77,30,0,13.8,clear sky
222,Tokur,RU,53.1333,132.9,18.81,72,100,3.33,overcast clouds
223,Preston,GB,53.7667,-2.7167,42.85,92,7,4.63,clear sky
224,Dikson,RU,73.5069,80.5464,-3.23,97,100,15.97,light snow
225,Faya,SA,18.3851,42.4509,55.51,77,9,0.63,clear sky
226,Waipawa,NZ,-41.4122,175.5153,58.95,64,100,7.34,overcast clouds
227,Novyye Gorki,RU,56.7253,41.0601,20.14,94,16,6.64,few clouds
228,Ziro,IN,27.6333,93.8333,57.94,29,0,0.65,clear sky
229,Bilibino,RU,68.0546,166.4372,3.34,84,80,2.15,broken clouds
230,San Francisco,US,37.7749,-122.4194,55.31,75,75,14.97,broken clouds
231,Berdigestyakh,RU,62.0989,126.6992,4.71,82,100,6.38,overcast clouds
